"Select(selcol)
勾選","Return ID(breturnflag)
退貨單號","Business type(cbustype)
業務類型","Sales type(cstname)
銷售類型","Delivery Note No(cdlcode)
送貨單號","Shipment date(ddate)
送貨日期","Currency(cexch_name)
幣別","Exchange rate(iexchrate)
匯率","Customer name(ccusname)
客戶全名","Ship-to Address(cshipaddress)
收貨地址","Contact tel(ccusphone)
公司電話","Contact(ccusperson)
聯繫人（訂購人）","Sales department(cdepname)
銷售部門","Clerk(cpersonname)
業務員","Payment Terms(cpayname)
支付方式","Prepared by(cmaker)
建單人","Approved by(cverifier)
審核人","Table body order No(bodysocode)
銷售訂單號","Warehouse(cwhname)
倉庫名稱","Inventory Code(cinvcode)
存貨編號","Stock Code(cinvaddcode)
 產品附加編碼","Inventory name(cinvname)
存貨名稱","Specification(cinvstd)
存貨規格","Qty(iquantity)
送貨數量","Quotation(iquotedprice)
標準單價","Unit Price Incl Tax(itaxunitprice)
含稅單價","Unit Price Excl Tax(iunitprice)
未稅單價","Amount tax exclusive(imoney)
 未稅總金額","Tax(itax)
稅金","Total Amt(isum)
 含稅總金額","Tax rate (%)(bodytaxrate)
稅率","Discount rate (%)(kl)
折扣率（%）
","Discount rate 2 (%)(kl2)
折扣百分比","Discount amount(idiscount)
折扣金額","Memo(cmemo)
從大發分公司ERP 系統下載的訂單","DefineItem1(cdefine1)
收件人+手機號
（目前用友系統，key 單時, 沒有獨立的收件人手機號欄位。","Voucher headUser-defined item2(cdefine2)
客戶編號（自定義欄位2）","Voucher headUser-defined item3(cdefine3)
是否開立發票 （自定義欄位3）","Voucher headUser-defined item4(cdefine4)
自定義欄位4","Voucher headUser-defined item9(cdefine9)
識別號（用於區分這個訂單是由哪個業務單位負責）","So Hoa Don(cdefine13)
客戶發票名稱","Export Times(ioutgolden)
 出貨次數","Qty not issued(WCSL)
未出庫數量","Un-billed Quantity(WKSL)
 未開票數量","Un-billed Amount(WKJE)
未開票金額","Un-Received Amount(WSKYB)
未收款金額","Un-Received Amount In Local Currency(WSKBB)
未收款金額（本幣）","Customer's Privilege Code Of Classfiction(caccode)
客戶優惠分類代碼","Customer's Privilege Of Classfiction(cacname)
客戶優惠分類名稱"
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181245,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?A H?NG TONE,02838634833-35,A. C??NG,CH Tone,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157856,TH?NH PH?M N?I ??A,3001042,,B?nh t? nam vi?t qu?t 40g,120 c?i/th?ng,120,20000,12000,11111.1111,1333333.33,106666.67,1440000,8,60,100,960000,,C.TH?Y 0938757038,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,120,1440000,1440000,1440000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181245,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?A H?NG TONE,02838634833-35,A. C??NG,CH Tone,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157856,TH?NH PH?M N?I ??A,3001043,,B?nh t? nh?n nh?c 40g,120 c?i/th?ng,120,20000,12000,11111.1111,1333333.33,106666.67,1440000,8,60,100,960000,,C.TH?Y 0938757038,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,120,1440000,1440000,1440000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181245,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?A H?NG TONE,02838634833-35,A. C??NG,CH Tone,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157856,TH?NH PH?M N?I ??A,3001044,,B?nh t? tr?ng mu?i 40g,120 c?i/th?ng,120,20000,12000,11111.1111,1333333.33,106666.67,1440000,8,60,100,960000,,C.TH?Y 0938757038,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,120,1440000,1440000,1440000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181245,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?A H?NG TONE,02838634833-35,A. C??NG,CH Tone,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157856,TH?NH PH?M N?I ??A,3013076,,H?t ?i?u v? Wasabi 100g,100g/t?i * 30 t?i/th?ng,60,70000,42000,38888.8888,2333333.33,186666.67,2520000,8,60,100,1680000,,C.TH?Y 0938757038,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,60,2520000,2520000,2520000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181245,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?A H?NG TONE,02838634833-35,A. C??NG,CH Tone,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157856,TH?NH PH?M N?I ??A,3013075,,H?t ?i?u v? m?n 100g,100g/t?i * 30 t?i/th?ng,60,70000,42000,38888.8888,2333333.33,186666.67,2520000,8,60,100,1680000,,C.TH?Y 0938757038,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,60,2520000,2520000,2520000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181245,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?A H?NG TONE,02838634833-35,A. C??NG,CH Tone,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157856,TH?NH PH?M N?I ??A,3013070,,H?t ?i?u v? Tomyum 100g,100g/t?i. 30 t?i/th?ng,60,70000,42000,38888.8888,2333333.33,186666.67,2520000,8,60,100,1680000,,C.TH?Y 0938757038,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,60,2520000,2520000,2520000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181246,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?a h?ng Nguy?n Tr?i,02838634833-35,A C??NG,CH Nguy?n Tr?i,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157880,TH?NH PH?M N?I ??A,3013076,,H?t ?i?u v? Wasabi 100g,100g/t?i * 30 t?i/th?ng,30,70000,42000,38888.889,1166666.67,93333.33,1260000,8,60,100,840000,,C. Duy?n 0938945826,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,30,1260000,1260000,1260000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181246,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?a h?ng Nguy?n Tr?i,02838634833-35,A C??NG,CH Nguy?n Tr?i,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157880,TH?NH PH?M N?I ??A,3013075,,H?t ?i?u v? m?n 100g,100g/t?i * 30 t?i/th?ng,30,70000,42000,38888.889,1166666.67,93333.33,1260000,8,60,100,840000,,C. Duy?n 0938945826,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,30,1260000,1260000,1260000,,
,No,General sales,國內銷售成品/XU?T B?N N?I,0000181246,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,C?a h?ng Nguy?n Tr?i,02838634833-35,A C??NG,CH Nguy?n Tr?i,Nguy?n T.Song Tuy?t,n/60,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157880,TH?NH PH?M N?I ??A,3013070,,H?t ?i?u v? Tomyum 100g,100g/t?i. 30 t?i/th?ng,30,70000,42000,38888.889,1166666.67,93333.33,1260000,8,60,100,840000,,C. Duy?n 0938945826,3700341674-001,C? Ho? ??n,,,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,0,30,1260000,1260000,1260000,,
,No,General sales,中秋節/Trung Thu,0000181251,2025-07-24,VND,1,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,738 SU VAN HANH P12 Q10,02838634833-35,Nh?n,CH Tone,Hu?nh Th? Tuy?t Mai,Chuy?n Kho?n,Nguy?n T Song Tuy?t.,Nguy?n T Song Tuy?t.,0000157721,Tp L? H?p Trung Thu,3502025,M802,L? H?p Ho?ng Kim 802,2 h?p/ th?ng,15,671400,671400,621666.67,9325000,746000,10071000,8,100,100,0,??n h?ng t? CNDP,Nh?n,3700341674-001,C? Ho? ??n,2025/7/24,TONE 006,CHI NH?NH C?NG TY TNHH TH?C PH?M TH??NG M?I ??I PH?T,0,15,15,10071000,10071000,10071000,,
